editor_name_BWS,query_article_BWS,article_id_BWS,TOP-K_BWS,Score_BWS,editor_name_BM25,query_article_BM25,article_id_BM25,TOP-K_BM25,Score_BM25
brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220323_2D65096906,15,-1.0,brnada,FALTER_20220223_27DE9DFAF4,FALTER_20220713_038D7E7989,15,47.640499
brnada,FALTER_20220302_19351A344E,FALTER_20220302_A898C15939,1,0.875,brnada,FALTER_20220302_19351A344E,FALTER_20220921_22135BD9FB,1,131.239197
brnada,FALTER_20220302_19351A344E,FALTER_20220216_154FB2A50F,2,0.625,brnada,FALTER_20220302_19351A344E,FALTER_20220413_EDC7023A23,2,127.029297
brnada,FALTER_20220302_19351A344E,FALTER_20220928_E5DF2B1850,3,0.5,brnada,FALTER_20220302_19351A344E,FALTER_20220309_1C6B8418BE,3,125.911598
brnada,FALTER_20220302_19351A344E,FALTER_20220406_CFF3E4B722,4,0.5,brnada,FALTER_20220302_19351A344E,FALTER_20220323_2D65096906,4,125.815697
brnada,FALTER_20220302_19351A344E,FALTER_20221102_92EEC85C8A,5,0.375,brnada,FALTER_20220302_19351A344E,FALTER_20220518_B804602C3C,5,125.119598
brnada,FALTER_20220302_19351A344E,FALTER_20220309_54EDF6DE99,6,0.25,brnada,FALTER_20220302_19351A344E,FALTER_20221102_92EEC85C8A,6,121.593903
brnada,FALTER_20220302_19351A344E,FALTER_20220309_1C6B8418BE,7,0.25,brnada,FALTER_20220302_19351A344E,FALTER_20220216_154FB2A50F,7,120.864197
brnada,FALTER_20220302_19351A344E,FALTER_20220518_B804602C3C,8,0.0,brnada,FALTER_20220302_19351A344E,FALTER_20220323_A229E0EDC3,8,115.576698
brnada,FALTER_20220302_19351A344E,FALTER_20220921_22135BD9FB,9,0.0,brnada,FALTER_20220302_19351A344E,FALTER_20220928_E5DF2B1850,9,115.409103
brnada,FALTER_20220302_19351A344E,FALTER_20220330_501B548D7A,10,-0.125,brnada,FALTER_20220302_19351A344E,FALTER_20220302_A898C15939,10,113.247299
brnada,FALTER_20220302_19351A344E,FALTER_20220323_A229E0EDC3,11,-0.25,brnada,FALTER_20220302_19351A344E,FALTER_20220330_501B548D7A,11,112.753799
